animal-name,home-range,age,sex,neutered,prey_p_month,study-site,unique-id,days_tracked,start_date,end_date
Abba,0.014,3.0,Female,Yes,3,UK,Abba_Pet Cats United Kingdom,8,2017-09-25,2017-10-02
Adele,0.0034,0.9,Female,Yes,6,Australia,Adele_Pet Cats Australia,5,2015-06-09,2015-06-13
Ajax2,0.015,3.0,Male,Yes,4,United States,Ajax2_Pet Cats United States,9,2014-06-21,2014-06-29
Albert,0.0109,9.0,Male,Yes,1,Australia,Albert_Pet Cats Australia,5,2015-12-12,2015-12-16
Alfie,0.009,2.0,Male,Yes,4,New Zealand,Alfie_Pet Cats New Zealand,6,2016-02-11,2016-02-16
Alfie,0.091,3.0,Male,Yes,3,UK,Alfie_Pet Cats United Kingdom,8,2017-10-23,2017-10-30
Ali,0.0103,0.7,Female,Yes,5,Australia,Ali_Pet Cats Australia,8,2015-08-19,2015-08-26
Alice,0.034,5.0,Female,Yes,9,New Zealand,Alice_Pet Cats New Zealand,7,2016-01-14,2016-01-20
Allie,0.064,8.0,Female,Yes,2,New Zealand,Allie_Pet Cats New Zealand,7,2015-05-04,2015-05-10
Alrari,0.0145,9.0,Male,Yes,2,Australia,Alrari_Pet Cats Australia,7,2016-05-26,2016-06-01
AmbaRose,0.0053,10.0,Female,Yes,2,Australia,AmbaRose_Pet Cats Australia,8,2015-09-30,2015-10-07
Amelia,0.0036,10.0,Female,Yes,1,Australia,Amelia_Pet Cats Australia,7,2015-10-01,2015-10-07
Anakin,0.0493,2.0,Male,Yes,1,Australia,Anakin_Pet Cats Australia,9,2015-05-01,2015-05-09
Angel,0.0188,3.0,Female,Yes,5,Australia,Angel_Pet Cats Australia,8,2015-07-22,2015-07-29
Annie,0.0097,2.0,Female,Yes,1,Australia,Annie_Pet Cats Australia,9,2015-11-13,2015-11-21
Anubis2,0.017,2.0,Male,Yes,4,United States,Anubis2_Pet Cats United States,6,2014-06-29,2014-07-04
Apples,0.011,10.0,Female,Yes,2,New Zealand,Apples_Pet Cats New Zealand,7,2015-09-16,2015-09-22
Archie,0.014,4.0,Male,Yes,1,New Zealand,Archie_Pet Cats New Zealand,8,2016-02-11,2016-02-18
Ares,0.029,3.0,Male,Yes,0,UK,Ares_Pet Cats United Kingdom,7,2017-06-24,2017-06-30
Ariel,0.0069,1.0,Male,Yes,5,Australia,Ariel_Pet Cats Australia,10,2016-05-26,2016-06-05
Arya,0.007,0.3,Female,Yes,16,New Zealand,Arya_Pet Cats New Zealand,8,2015-12-03,2015-12-10
Ash,0.0437,8.0,Male,Yes,2,Australia,Ash_Pet Cats Australia,7,2015-08-28,2015-09-03
Ash,0.025,8.0,Male,Yes,1,New Zealand,Ash_Pet Cats New Zealand,7,2015-10-17,2015-10-23
Ash2,0.0169,3.0,Male,Yes,8,Australia,Ash2_Pet Cats Australia,7,2016-04-22,2016-04-28
Asher2,0.09,3.0,Male,Yes,8,United States,Asher2_Pet Cats United States,11,2015-03-17,2015-03-28
Asibo2,0.037,2.0,Male,Yes,4,United States,Asibo2_Pet Cats United States,6,2014-06-29,2014-07-04
Astro,0.0528,2.0,Male,Yes,8,Australia,Astro_Pet Cats Australia,8,2015-11-20,2015-11-27
Astryl,0.066,12.0,Female,Yes,2,New Zealand,Astryl_Pet Cats New Zealand,8,2015-12-12,2015-12-19
Athena,0.011,3.0,Female,Yes,3,UK,Athena_Pet Cats United Kingdom,7,2017-06-24,2017-06-30
Atik,0.0134,2.0,Female,Yes,5,Australia,Atik_Pet Cats Australia,11,2015-06-05,2015-06-15
Atticus,0.013,8.0,Male,Yes,1,United States,Atticus_Pet Cats United States,3,2014-12-17,2014-12-19
Ava,0.017,2.0,Female,Yes,2,New Zealand,Ava_Pet Cats New Zealand,6,2015-04-30,2015-05-05
Babs1,0.011,0.8,Female,Yes,15,New Zealand,Babs1_Pet Cats New Zealand,7,2015-05-19,2015-05-25
BabyKitty2,0.044,1.0,Male,No,8,United States,BabyKitty2_Pet Cats United States,13,2015-06-14,2015-06-26
Balu,0.031,7.0,Female,Yes,3,UK,Balu_Pet Cats United Kingdom,8,2017-09-18,2017-09-25
Bambi,0.0069,3.0,Female,Yes,5,Australia,Bambi_Pet Cats Australia,8,2016-02-04,2016-02-11
Bandit,0.0214,3.0,Female,Yes,13,Australia,Bandit_Pet Cats Australia,9,2015-06-13,2015-06-21
Banjo,0.0313,1.0,Male,Yes,5,Australia,Banjo_Pet Cats Australia,5,2016-02-05,2016-02-09
Banjo2,0.0071,9.0,Female,Yes,9,Australia,Banjo2_Pet Cats Australia,7,2016-01-21,2016-01-27
Banjo2,0.012,9.0,Female,Yes,1,United States,Banjo2_Pet Cats United States,10,2014-04-07,2014-04-16
Banzai,0.116,3.0,Male,Yes,1,New Zealand,Banzai_Pet Cats New Zealand,9,2015-04-10,2015-04-18
Barney,0.028,11.0,Male,Yes,0,UK,Barney_Pet Cats United Kingdom,8,2017-07-08,2017-07-15
Basil,0.0293,3.0,Male,Yes,2,Australia,Basil_Pet Cats Australia,7,2015-07-15,2015-07-21
Basil,0.018,9.0,Male,Yes,1,New Zealand,Basil_Pet Cats New Zealand,8,2015-11-27,2015-12-04
BB,0.0087,1.0,Female,Yes,1,Australia,BB_Pet Cats Australia,8,2016-02-26,2016-03-04
Bean2,0.022,3.0,Male,Yes,4,United States,Bean2_Pet Cats United States,6,2014-07-26,2014-08-02
Beanie,0.005,4.0,Male,Yes,0,UK,Beanie_Pet Cats United Kingdom,8,2017-07-22,2017-07-29
Bear,0.055,4.0,Female,Yes,6,New Zealand,Bear_Pet Cats New Zealand,8,2016-01-30,2016-02-06
Bear,0.254,6.0,Male,Yes,3,UK,Bear_Pet Cats United Kingdom,8,2017-07-20,2017-07-27
Beatle2,0.057,7.0,Male,Yes,0,United States,Beatle2_Pet Cats United States,6,2014-06-06,2014-06-11
Bel,0.0583,1.0,Female,Yes,4,Australia,Bel_Pet Cats Australia,5,2015-05-15,2015-05-19
Bel2,0.0053,12.0,Female,Yes,0,Australia,Bel2_Pet Cats Australia,3,2015-12-21,2015-12-23
Bela2,0.112,2.0,Male,Yes,1,United States,Bela2_Pet Cats United States,12,2015-03-24,2015-04-05
Bella,0.045,3.0,Female,Yes,7,UK,Bella_Pet Cats United Kingdom,9,2017-07-16,2017-07-24
Bella2,0.046,5.0,Female,Yes,8,United States,Bella2_Pet Cats United States,13,2015-05-17,2015-05-29
Bella5,0.0064,5.0,Female,Yes,0,Australia,Bella5_Pet Cats Australia,9,2015-09-02,2015-09-10
Bella6,0.0146,8.0,Female,Yes,11,Australia,Bella6_Pet Cats Australia,5,2015-10-12,2015-10-16
BellaBoo,0.1588,2.0,Female,Yes,7,Australia,BellaBoo_Pet Cats Australia,12,2016-05-13,2016-05-24
BellaII,0.057,8.0,Female,Yes,3,New Zealand,BellaII_Pet Cats New Zealand,11,2015-10-11,2015-10-21
BellaIII,0.044,4.0,Female,Yes,2,New Zealand,BellaIII_Pet Cats New Zealand,7,2015-11-26,2015-12-02
Belle,0.0081,4.0,Female,Yes,1,Australia,Belle_Pet Cats Australia,7,2016-06-24,2016-06-30
Beluga,0.051,2.0,Male,Yes,0,United States,Beluga_Pet Cats United States,6,2014-11-08,2014-11-13
Benny,0.0042,7.0,Male,Yes,1,Australia,Benny_Pet Cats Australia,9,2015-08-12,2015-08-20
Benny,0.02,4.0,Male,Yes,8,United States,Benny_Pet Cats United States,8,2015-02-08,2015-02-15
Bentley,0.0233,12.0,Male,Yes,2,Australia,Bentley_Pet Cats Australia,10,2015-10-09,2015-10-18
Bessy,0.0253,8.0,Female,Yes,21,Australia,Bessy_Pet Cats Australia,6,2015-09-03,2015-09-08
Biggles,0.0087,4.0,Male,Yes,1,Australia,Biggles_Pet Cats Australia,7,2016-05-06,2016-05-12
Billy,0.0061,11.0,Male,Yes,0,Australia,Billy_Pet Cats Australia,8,2015-12-24,2015-12-31
BillyWhiskers2,0.037,2.0,Male,Yes,4,United States,BillyWhiskers2_Pet Cats United States,12,2015-06-14,2015-06-25
Binky,0.058,4.0,Male,Yes,0,UK,Binky_Pet Cats United Kingdom,7,2017-07-22,2017-07-28
Bits,0.012,13.0,Female,Yes,3,UK,Bits_Pet Cats United Kingdom,3,2017-07-29,2017-07-31
Blackie,0.028,9.0,Male,Yes,3,New Zealand,Blackie_Pet Cats New Zealand,4,2015-04-18,2015-04-21
Bluey,0.0071,9.0,Male,Yes,0,Australia,Bluey_Pet Cats Australia,8,2015-10-15,2015-10-22
Bo,0.0099,4.0,Male,Yes,2,Australia,Bo_Pet Cats Australia,8,2015-12-11,2015-12-18
Bob,0.0464,7.0,Male,Yes,4,Australia,Bob_Pet Cats Australia,8,2015-06-20,2015-06-27
Bobs,0.059,13.0,Female,Yes,3,UK,Bobs_Pet Cats United Kingdom,8,2017-07-29,2017-08-05
Bongo2,0.062,4.0,Male,Yes,12,United States,Bongo2_Pet Cats United States,11,2015-04-10,2015-04-20
Boo,0.005,4.0,Male,Yes,0,Australia,Boo_Pet Cats Australia,9,2015-09-03,2015-09-11
BooBooKitty,0.002,12.0,Female,Yes,0,United States,BooBooKitty_Pet Cats United States,5,2014-12-09,2014-12-21
Boofy,0.0289,9.0,Male,Yes,1,Australia,Boofy_Pet Cats Australia,5,2015-08-26,2015-08-30
Boots,0.009,3.0,Female,Yes,3,Australia,Boots_Pet Cats Australia,11,2015-07-30,2015-08-09
Boots,0.056,16.0,Female,Yes,0,UK,Boots_Pet Cats United Kingdom,7,2017-08-25,2017-08-31
Boots2,0.0044,14.0,Male,Yes,1,Australia,Boots2_Pet Cats Australia,11,2015-10-08,2015-10-18
Boris2,0.067,2.0,Male,Yes,4,United States,Boris2_Pet Cats United States,3,2014-06-06,2014-06-08
Boz,0.0092,6.0,Male,Yes,0,Australia,Boz_Pet Cats Australia,8,2015-12-24,2015-12-31
Bramble,0.007,3.0,Female,Yes,3,New Zealand,Bramble_Pet Cats New Zealand,8,2015-10-29,2015-11-05
Bruce,0.0164,2.0,Male,Yes,2,Australia,Bruce_Pet Cats Australia,8,2015-08-27,2015-09-03
BruceWillisPussington,0.0133,7.0,Male,Yes,1,Australia,BruceWillisPussington_Pet Cats Australia,8,2015-04-02,2015-04-09
Buddha,0.0247,6.0,Male,Yes,2,Australia,Buddha_Pet Cats Australia,8,2015-07-30,2015-08-06
Buddy,0.0132,2.0,Male,Yes,1,Australia,Buddy_Pet Cats Australia,8,2015-03-31,2015-04-08
Buddy,0.025,7.0,Male,Yes,1,New Zealand,Buddy_Pet Cats New Zealand,8,2016-02-11,2016-02-18
Buddy2,0.0177,4.0,Male,Yes,4,Australia,Buddy2_Pet Cats Australia,7,2015-09-10,2015-09-16
Bugsy,0.0433,5.0,Male,Yes,3,Australia,Bugsy_Pet Cats Australia,8,2015-07-03,2015-07-10
Bumbles,0.023,12.0,Female,Yes,3,UK,Bumbles_Pet Cats United Kingdom,8,2017-07-20,2017-07-27
Bumbles2,0.027,9.0,Male,Yes,12,United States,Bumbles2_Pet Cats United States,9,2015-03-24,2015-04-08
Bungey,0.0074,6.0,Male,Yes,1,Australia,Bungey_Pet Cats Australia,6,2015-07-22,2015-07-27
Buster,0.177,1.0,Male,Yes,5,New Zealand,Buster_Pet Cats New Zealand,7,2016-02-26,2016-03-03
Buzz,0.025,2.0,Male,Yes,6,New Zealand,Buzz_Pet Cats New Zealand,7,2015-12-03,2015-12-09
Caddie,0.0163,6.0,Female,Yes,4,Australia,Caddie_Pet Cats Australia,7,2015-12-16,2015-12-22
CaptainSoldier,0.0369,3.0,Male,Yes,0,Australia,CaptainSoldier_Pet Cats Australia,8,2016-02-04,2016-02-11
Carbonel,0.013,8.0,Male,Yes,0,UK,Carbonel_Pet Cats United Kingdom,8,2017-07-07,2017-07-14
Carina,0.019,2.0,Female,Yes,8,New Zealand,Carina_Pet Cats New Zealand,7,2015-09-09,2015-09-15
Carmello,0.0268,9.0,Male,Yes,0,Australia,Carmello_Pet Cats Australia,8,2016-02-18,2016-02-25
Carrots,0.043,3.0,Male,Yes,17,UK,Carrots_Pet Cats United Kingdom,8,2017-08-25,2017-09-01
Casper,0.0099,8.0,Male,Yes,3,Australia,Casper_Pet Cats Australia,7,2015-06-14,2015-06-20
Casper,0.03,4.0,Male,Yes,7,New Zealand,Casper_Pet Cats New Zealand,6,2015-12-12,2015-12-17
Casper,0.019,6.0,Male,Yes,0,UK,Casper_Pet Cats United Kingdom,8,2017-10-30,2017-11-06
Caspian,0.018,10.0,Male,Yes,11,Australia,Caspian_Pet Cats Australia,7,2015-06-19,2015-06-25
Cat,0.023,6.0,Male,Yes,1,Australia,Cat_Pet Cats Australia,8,2015-07-03,2015-07-10
CatMarshall,0.022,5.0,Female,Yes,0,United States,CatMarshall_Pet Cats United States,5,2014-07-22,2014-07-26
CatnissEverdeen,0.013,1.0,Female,Yes,0,United States,CatnissEverdeen_Pet Cats United States,6,2014-06-19,2014-06-24
Catsby,0.021,5.0,Female,Yes,1,New Zealand,Catsby_Pet Cats New Zealand,6,2015-12-12,2015-12-17
Cayden2,0.024,4.0,Male,Yes,0,United States,Cayden2_Pet Cats United States,2,2014-08-08,2014-08-09
Cedar2,0.006,14.0,Male,Yes,4,United States,Cedar2_Pet Cats United States,7,2014-08-16,2014-08-22
Celine,0.0108,3.0,Unk,Yes,1,Australia,Celine_Pet Cats Australia,8,2015-12-23,2015-12-30
Chanel,0.011,8.0,Female,Yes,4,Australia,Chanel_Pet Cats Australia,7,2016-01-15,2016-01-21
Charlie,0.011,5.0,Male,Yes,2,Australia,Charlie_Pet Cats Australia,10,2015-05-16,2015-05-25
Charlie,0.017,6.0,Male,Yes,3,UK,Charlie_Pet Cats United Kingdom,7,2017-06-28,2017-07-04
Charlie2,0.007,9.0,Male,Yes,3,UK,Charlie2_Pet Cats United Kingdom,7,2017-07-17,2017-07-23
Charlie3,0.0039,12.0,Female,Yes,1,Australia,Charlie3_Pet Cats Australia,9,2015-09-30,2015-10-08
Charlie4,0.026,6.0,Male,Yes,0,Australia,Charlie4_Pet Cats Australia,8,2015-10-08,2015-10-15
Charlie6,0.0252,2.0,Male,Yes,9,Australia,Charlie6_Pet Cats Australia,10,2016-03-04,2016-03-13
CharlieFrank,0.0165,4.0,Male,Yes,0,Australia,CharlieFrank_Pet Cats Australia,7,2015-07-22,2015-07-28
Charlotte,0.0421,5.0,Female,Yes,3,Australia,Charlotte_Pet Cats Australia,7,2015-06-14,2015-06-20
Charlotte2,0.0101,1.0,Female,Yes,2,Australia,Charlotte2_Pet Cats Australia,6,2016-06-09,2016-06-14
Chase,0.0178,1.0,Female,Yes,21,Australia,Chase_Pet Cats Australia,6,2015-11-14,2015-11-19
Cheeky,0.0136,15.0,Male,Yes,1,Australia,Cheeky_Pet Cats Australia,4,2015-09-02,2015-09-05
Chess,0.013,9.0,Female,Yes,1,New Zealand,Chess_Pet Cats New Zealand,8,2016-02-19,2016-02-26
Chester2,0.109,4.0,Male,Yes,4,United States,Chester2_Pet Cats United States,12,2015-04-18,2015-04-30
