unique_id,day_number,distance
Abba_Pet Cats United Kingdom,1,529.914854402789
Abba_Pet Cats United Kingdom,2,179.6487261895793
Abba_Pet Cats United Kingdom,3,179.7365521043921
Abba_Pet Cats United Kingdom,4,68.18540674286314
Abba_Pet Cats United Kingdom,5,871.6403648374715
Abba_Pet Cats United Kingdom,6,545.51926587937
Abba_Pet Cats United Kingdom,7,44.81658752480144
Abba_Pet Cats United Kingdom,8,69.9050111211481
Adele_Pet Cats Australia,1,141.45630180702807
Adele_Pet Cats Australia,2,244.53609369335618
Adele_Pet Cats Australia,3,67.82877210596946
Adele_Pet Cats Australia,4,20.064720542090637
Adele_Pet Cats Australia,5,203.06805854201457
Ajax2_Pet Cats United States,1,461.03211292270544
Ajax2_Pet Cats United States,2,283.970675799516
Ajax2_Pet Cats United States,3,951.3183880849874
Ajax2_Pet Cats United States,4,569.5615335804404
Ajax2_Pet Cats United States,5,351.5723791155175
Ajax2_Pet Cats United States,6,584.735398246526
Ajax2_Pet Cats United States,7,92.64815826673218
Ajax2_Pet Cats United States,8,196.24186512607295
Ajax2_Pet Cats United States,9,407.7493352069721
Albert_Pet Cats Australia,1,169.7456007210617
Albert_Pet Cats Australia,2,544.9802439004778
Albert_Pet Cats Australia,3,574.6749788399961
Albert_Pet Cats Australia,4,706.9106984610848
Albert_Pet Cats Australia,5,233.11667342455965
Alfie_Pet Cats New Zealand,1,1164.55730451417
Alfie_Pet Cats New Zealand,2,585.2217651174607
Alfie_Pet Cats New Zealand,3,452.8594607090446
Alfie_Pet Cats New Zealand,4,473.58905577233344
Alfie_Pet Cats New Zealand,5,206.44387568658607
Alfie_Pet Cats New Zealand,6,116.86073811201858
Alfie_Pet Cats United Kingdom,1,950.5562956642366
Alfie_Pet Cats United Kingdom,2,1229.4046904050097
Alfie_Pet Cats United Kingdom,3,1816.7263728216171
Alfie_Pet Cats United Kingdom,4,1012.9802662559913
Alfie_Pet Cats United Kingdom,5,1419.4035073603427
Alfie_Pet Cats United Kingdom,6,2963.287742178564
Alfie_Pet Cats United Kingdom,7,374.6894666660755
Alfie_Pet Cats United Kingdom,8,967.0670884310284
